Date,Holiday_name
2017-01-01,New Year's Day
2017-01-14,Makar Sankranti / Pongal
2017-01-26,Republic Day
2017-02-24,Maha Shivaratri
2017-03-13,Holi
2017-03-28,Ugadi / Gudi Padwa
2017-04-05,Ram Navami
2017-04-09,Mahavir Jayanti
2017-04-14,Good Friday
2017-05-01,Labor Day
2017-05-10,Budhha Purnima
2017-06-25,Rath Yatra
2017-06-26,Eid-ul-Fitar
2017-08-07,Raksha Bandhan
2017-08-14,Janmashtami
2017-08-15,Independence Day
2017-08-25,Vinayaka Chaturthi
2017-09-02,Bakri Id / Eid ul-Adha
2017-09-04,Onam
2017-09-30,Dussehra / Dasara
2017-10-01,Muharram
2017-10-02,Mathatma Gandhi Jayanti
2017-10-19,Diwali / Deepavali
2017-12-01,Milad un Nabi
2017-12-25,Christmas
2018-01-01,New Year's Day
2018-01-14,Makar Sankranti / Pongal
2018-01-26,Republic Day
2018-02-14,Maha Shivaratri
2018-03-02,Holi
2018-03-18,Ugadi / Gudi Padwa
2018-03-25,Ram Navami
2018-03-29,Mahavir Jayanti
2018-03-30,Good Friday
2018-04-30,Budhha Purnima
2018-05-01,Labor Day
2018-06-16,Eid-ul-Fitar
2018-07-14,Rath Yatra
2018-08-15,Independence Day
2018-08-22,Bakri Id / Eid ul-Adha
2018-08-25,Onam
2018-08-26,Raksha Bandhan
2018-09-03,Janmashtami
2018-09-13,Vinayaka Chaturthi
2018-09-21,Muharram
2018-10-02,Mathatma Gandhi Jayanti
2018-10-19,Dussehra / Dasara
2018-11-07,Diwali / Deepavali
2018-11-21,Milad un Nabi
2018-11-23,Guru Nanak's Birthday
2018-12-25,Christmas
2019-01-01,New Year's Day
2019-01-14,Makar Sankranti / Pongal
2019-01-26,Republic Day
2019-03-04,Maha Shivaratri
2019-03-21,Holi
2019-04-06,Ugadi / Gudi Padwa
2019-04-13,Ram Navami
2019-04-17,Mahavir Jayanti
2019-04-19,Good Friday
2019-05-01,Labor Day
2019-05-18,Budhha Purnima
2019-06-05,Eid-ul-Fitar
2019-07-04,Rath Yatra
2019-08-12,Bakri Id / Eid ul-Adha
2019-08-15,Raksha Bandhan
2019-08-15,Independence Day
2019-08-24,Janmashtami
2019-09-02,Vinayaka Chaturthi
2019-09-10,Muharram
2019-09-11,Onam
2019-10-02,Mathatma Gandhi Jayanti
2019-10-08,Dussehra / Dasara
2019-10-27,Diwali / Deepavali
2019-11-10,Milad un Nabi
2019-11-12,Guru Nanak's Birthday
2019-12-25,Christmas
